Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
GOAU4	12h17	10.00435207	1.08	3.05	1.68	8.39	-0.602633621			-4.405231032
VALE3	12h17	55.83012418	1.08	1.26	-0.53	2.2	3.275065328			4.193445151
PETR4	12h17	25.4165126	1.07	-1.88	17.29	63.64	3.360925716			1.536690524
BBSE3	12h17	21.6954699	1.06	4.74	9.88	22.42	0.895173206			4.64774752
ELET3	12h17	40.03877805	1.05	3.18	39.25	141	3.847267711			-3.640252492
KLBN11	12h17	20.7930623	0.97	-5.15	-0.75	-20.32	4.076429164			1.270901521
GGBR4	12h17	14.46680011	0.94	-0.91	-4.75	-3.35	-2.221085621			3.184501285
BRAP4	12h17	27.10036516	0.87	0.11	2.87	2.67	-1.363664895			-0.368283005
VIVT4	12h17	49.35427082	0.81	1.96	6.99	18.97	2.795045146			-0.140139957
NATU3	12h17	64.75352952	0.8	18.38	38.18	85.61	-2.753811087			-2.287597011
RENT3	12h17	32.18544222	0.78	3.65	26.49	58.67	-4.406420159			-2.717707012
CCRO3	12h17	3.639679833	0.76	16.17	21.26	39.28	4.543443395			-0.111396387
CMIG4	12h17	9.925709995	0.73	-3.3	2.84	97.66	1.398849921			-4.791007543
USIM5	12h17	3.19801403	0.73	-3.94	-8.67	0.84	-0.666199887			2.249785602
BRFS3	12h17	32.52396135	0.7	2.16	44.64	44.18	-4.157533334			0.959970064
EQTL3	12h17	79.52801628	0.7	1.74	12.03	40.45	-0.500236802			2.743053083
PETR3	12h17	47.00167106	0.63	-3.2	14.25	47.8	-2.942217608			-4.022950193
ELET6	12h17	44.16751509	0.61	0.78	23.96	113.58	-4.481825246			-3.782131516
JBSS3	12h17	25.4962488	0.58	14.53	95.36	139.35	-3.174055281			-4.846641629
SUZB3	12h17	28.86768194	0.49	-15.1	-8.2	-22.31	2.496304177			-2.398799846
EMBR3	12h17	2.257702553	0.43	-3.77	-12.82	-15.28	2.589064283			4.10530014
CYRE3	12h17	12.00009191	0.42	-5.23	8.92	52.01	2.5246093			-1.914651809
CIEL3	12h17	3.222789587	0.41	-5.21	-15.7	-51.7	0.421048663			1.878032535
ESTC3	12h17	41.74049206	0.34	8.35	26.9	31.05	0.098322715			-2.897478353
TIMP3	12h17	10.22654252	0.28	-8.13	-8.18	-14.82	4.66426533			-0.867662127
QUAL3	12h17	17.35933011	0.2	13.78	51.82	9.91	0.425911778			4.590268635
UGPA3	12h17	8.802017988	0.2	-6.24	-24.99	-14.27	-1.558923248			-1.40098665
KROT3	12h17	14.32785706	0.2	3.22	13.73	-4.43	-1.548377139			3.888981729
MRFG3	12h17	5.874697351	0	-3.28	29.67	-12.27	-3.810399994			0.885624636
ECOR3	12h17	11.55589507	-0.55	11.34	-3.73	25.79	-4.486615192			2.721446386
CSNA3	12h17	6.697644109	-1.87	28.87	111.97	154.94	0.442649812			3.484481641
