Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
ABEV3	12h17	15.16838839	1.34	-5.52	13.46	-9.1	1.762016925			-4.106447767
MULT3	12h17	26.70437924	1.3	-2.09	-3.03	24.52	4.445999039			2.134626171
BRDT3	12h17	25.39940712	1.26	-1.31	-0.07	58.89	0.195084449			-4.542117952
HYPE3	12h17	25.93544194	1.23	8.12	1.55	16.62	3.218990569			1.21222516
GOAU4	12h17	3.314666142	1.08	3.05	1.68	8.39	4.290798759			-4.405231032
VALE3	12h17	48.84415591	1.08	1.26	-0.53	2.2	-0.165227652			4.193445151
PETR4	12h17	30.43669221	1.07	-1.88	17.29	63.64	4.094787346			1.536690524
BBSE3	12h17	26.12727641	1.06	4.74	9.88	22.42	4.388770399			4.64774752
ELET3	12h17	35.60038172	1.05	3.18	39.25	141	0.123270087			-3.640252492
KLBN11	12h17	14.72435388	0.97	-5.15	-0.75	-20.32	-3.827777701			1.270901521
GGBR4	12h17	14.69089895	0.94	-0.91	-4.75	-3.35	-1.710378731			3.184501285
BRAP4	12h17	32.58411254	0.87	0.11	2.87	2.67	-3.978685035			-0.368283005
VIVT4	12h17	50.40829858	0.81	1.96	6.99	18.97	3.667039507			-0.140139957
NATU3	12h17	62.93277068	0.8	18.38	38.18	85.61	-4.702200146			-2.287597011
RENT3	12h17	34.13467908	0.78	3.65	26.49	58.67	-4.736597851			-2.717707012
CCRO3	12h17	11.35820982	0.76	16.17	21.26	39.28	-2.727106995			-0.111396387
CMIG4	12h17	10.15910608	0.73	-3.3	2.84	97.66	0.313062967			-4.791007543
USIM5	12h17	5.811550872	0.73	-3.94	-8.67	0.84	3.130748769			2.249785602
BRFS3	12h17	32.37292526	0.7	2.16	44.64	44.18	-1.337216914			0.959970064
EQTL3	12h17	78.20588615	0.7	1.74	12.03	40.45	-1.360281823			2.743053083
PETR3	12h17	33.72528548	0.63	-3.2	14.25	47.8	2.049351042			-4.022950193
ELET6	12h17	37.04085593	0.61	0.78	23.96	113.58	4.615210624			-3.782131516
JBSS3	12h17	20.14951981	0.58	14.53	95.36	139.35	0.572758389			-4.846641629
SUZB3	12h17	31.71859581	0.49	-15.1	-8.2	-22.31	3.90444732			-2.398799846
EMBR3	12h17	17.59281588	0.43	-3.77	-12.82	-15.28	-1.173856704			4.10530014
CYRE3	12h17	16.24021386	0.42	-5.23	8.92	52.01	-1.528225874			-1.914651809
CIEL3	12h17	7.647476602	0.41	-5.21	-15.7	-51.7	4.678466947			1.878032535
ESTC3	12h17	33.58850792	0.34	8.35	26.9	31.05	1.701229494			-2.897478353
TIMP3	12h17	8.773920799	0.28	-8.13	-8.18	-14.82	1.630599163			-0.867662127
QUAL3	12h17	16.40337719	0.2	13.78	51.82	9.91	-0.995421578			4.590268635
UGPA3	12h17	22.50895843	0.2	-6.24	-24.99	-14.27	-3.609241934			-1.40098665
KROT3	12h17	13.60017235	0.2	3.22	13.73	-4.43	-4.602083421			3.888981729
MRFG3	12h17	5.534351422	0	-3.28	29.67	-12.27	-0.204279884			0.885624636
ECOR3	12h17	12.88637549	-0.55	11.34	-3.73	25.79	3.069750519			2.721446386
CSNA3	12h17	17.59393194	-1.87	28.87	111.97	154.94	3.560083853			3.484481641
