Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
NATU3	12h17	57.59336217	0.8	18.38	38.18	85.61	4.680731035			-2.287597011
RENT3	12h17	33.06410542	0.78	3.65	26.49	58.67	-2.589960093			-2.717707012
CCRO3	12h17	7.46167895	0.76	16.17	21.26	39.28	-4.017014399			-0.111396387
CMIG4	12h17	3.661821206	0.73	-3.3	2.84	97.66	-0.94515162			-4.791007543
USIM5	12h17	6.062899489	0.73	-3.94	-8.67	0.84	4.07764207			2.249785602
BRFS3	12h17	32.49149823	0.7	2.16	44.64	44.18	0.384643594			0.959970064
EQTL3	12h17	79.54081298	0.7	1.74	12.03	40.45	3.647011526			2.743053083
PETR3	12h17	49.16104151	0.63	-3.2	14.25	47.8	-2.843911191			-4.022950193
ELET6	12h17	40.1385476	0.61	0.78	23.96	113.58	3.191312567			-3.782131516
JBSS3	12h17	19.98487819	0.58	14.53	95.36	139.35	-3.567997851			-4.846641629
SUZB3	12h17	30.32073132	0.49	-15.1	-8.2	-22.31	-1.475583921			-2.398799846
EMBR3	12h17	3.382214572	0.43	-3.77	-12.82	-15.28	2.336309875			4.10530014
CYRE3	12h17	15.45640604	0.42	-5.23	8.92	52.01	4.619928866			-1.914651809
CIEL3	12h17	-2.098537242	0.41	-5.21	-15.7	-51.7	-2.41972056			1.878032535
ESTC3	12h17	43.17758233	0.34	8.35	26.9	31.05	2.810287378			-2.897478353
TIMP3	12h17	16.66992867	0.28	-8.13	-8.18	-14.82	3.993542462			-0.867662127
QUAL3	12h17	16.20629751	0.2	13.78	51.82	9.91	2.593819549			4.590268635
UGPA3	12h17	7.25148909	0.2	-6.24	-24.99	-14.27	-2.885504307			-1.40098665
KROT3	12h17	23.34670412	0.2	3.22	13.73	-4.43	-1.012941403			3.888981729
MRFG3	12h17	8.881609466	0	-3.28	29.67	-12.27	4.736829002			0.885624636
ECOR3	12h17	12.90098669	-0.55	11.34	-3.73	25.79	0.1998098			2.721446386
CSNA3	12h17	15.36970711	-1.87	28.87	111.97	154.94	-1.723054296			3.484481641
